ID,tree_ID_cytb,tree_ID_ACR,cytb_clade,tree_ID,field number,Sample_or_control,date,collector/preparator,subspecies,species,State,county,specific locality,site name,lat,long,elevation (m),Sex,age class,total length (mm),tail (mm),hind foot (mm),ear (mm),weight (g)
KCB2017005.HirdChipmunk2017G04,quadrivittatus_quadrivittatus_603228,quadrivittatus_quadrivittatus_603228,F,USNM 603228,KCB2017-005,sample,42871,"Kayce C. Bell, Keegan P. Hottinger, Schuyler W. Liphardt",quadrivittatus,quadrivittatus,New Mexico,Harding,East rim of Mills Canyon at Mills Canyon Road,Mills Canyon,36.07013,-104.35223,1744,F,adult,220,96,32,20,60
KCB2017041.HirdChipmunk2017F05,minimus_operarius_603264,NA,D,USNM 603264,KCB2017-041,sample,42877,"Kayce C. Bell, Keegan P. Hottinger, Danielle J. Parsons, Katrina M. Derieg, O. Liota Weinbaum, Schuyler W. Liphardt",minimus operarius,minimus ,New Mexico,San Miguel,Windsor Creek Campground,Windsor Creek,35.81215,-105.66322,2526,F,adult,227,104,32,17,64
KCB2017062.HirdChipmunk2017F01,dorsalis_grinnelli_603285,dorsalis_grinnelli_603285,G,USNM 603285,KCB2017-062,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64583,-117.31484,1984,M,adult,206,90,32,22,52
KCB2017063.HirdChipmunk2017A03,dorsalis_grinnelli_603286,dorsalis_grinnelli_603286,G,USNM 603286,KCB2017-063,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64669,-117.31451,1996,F,adult,214,91,30,22,54
KCB2017064.HirdChipmunk2017G05,NA,NA,NA,USNM 603287,KCB2017-064,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.64822,-117.31443,2003,F,adult,160,45,29,22,43
KCB2017065.HirdChipmunk2017A01,dorsalis_grinnelli_603288,dorsalis_grinnelli_603288,G,USNM 603288,KCB2017-065,sample,42883,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,Nye,Toiyabe Range; Peavine Canyon,Toiyabe Range,38.6483,-117.31456,2011,M,adult,221,99,31,21,54.5
KCB2017079.HirdChipmunk2017D01,umbrinus_inyoensis_603302,umbrinus_inyoensis_603302,G,USNM 603302,KCB2017-079,sample,42885,"Kayce C. Bell, Keegan P. Hottinger",umbrinus inyoensis,umbrinus,Nevada,White Pine,Ruby Mountains; Overland Pass,Ruby Mountains,40.02552,-115.54913,1999,F,adult,222,96,32,20,56
KCB2017095.HirdChipmunk2017C01,dorsalis_grinnelli_603318,NA,G,USNM 603318,KCB2017-095,sample,42888,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,White Pine,"Cherry Creek Mountains; McDermid Creek, Lear Ranch Dam",Cherry Creek Range,40.18191,-114.82057,1996,M,subadult,185,89,31,20,47.5
KCB2017096.HirdChipmunk2017B03,dorsalis_grinnelli_603319,dorsalis_grinnelli_603319,G,USNM 603319,KCB2017-096,sample,42888,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,White Pine,"Cherry Creek Mountains; McDermid Creek, Lear Ranch Dam",Cherry Creek Range,40.18291,-114.82074,1954,M,subadult,195,96,29,20,46
KCB2017097.HirdChipmunk2017A02,dorsalis_grinnelli_603320,dorsalis_grinnelli_603320,G,USNM 603320,KCB2017-097,sample,42888,"Kayce C. Bell, Keegan P. Hottinger",dorsalis grinnelli,dorsalis,Nevada,White Pine,"Cherry Creek Mountains; McDermid Creek, Lear Ranch Dam",Cherry Creek Range,40.18336,-114.81996,1967,M,subadult,205,95,30,21,48.5
KCB2017099.HirdChipmunk2017F03,umbrinus_inyoensis_603322,umbrinus_inyoensis_603322,G,USNM 603322,KCB2017-099,sample,42888,"Kayce C. Bell, Keegan P. Hottinger",umbrinus inyoensis,umbrinus,Nevada,White Pine,"Cherry Creek Mountains; McDermid Creek, Lear Ranch Dam",Cherry Creek Range,40.18185,-114.82088,2001,F,subadult,215,99,32,20,49
KCB2017100.HirdChipmunk2017E03,umbrinus_inyoensis_603323,umbrinus_inyoensis_603323,G,USNM 603323,KCB2017-100,sample,42888,"Kayce C. Bell, Keegan P. Hottinger",umbrinus inyoensis,umbrinus,Nevada,White Pine,"Cherry Creek Mountains; McDermid Creek, Lear Ranch Dam",Cherry Creek Range,40.18192,-114.82101,1985,M,subadult,210,99,31,20,48.5
KCB2017112.HirdChipmunk2017H01,amoenus_cratericus_603335,amoenus_cratericus_603335,B,USNM 603335,KCB2017-112,sample,42891,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)",Lost River Range,43.98676,-113.46963,2168,M,adult,214,94,32,19,49.5
KCB2017113.HirdChipmunk2017A04,amoenus_cratericus_603336,NA,B,USNM 603336,KCB2017-113,sample,42891,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)",Lost River Range,43.98695,-113.47006,2186,F,adult,214,95,31,18,54.5
KCB2017114.HirdChipmunk2017C02,NA,NA,NA,USNM 603337,KCB2017-114,sample,42891,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)",Lost River Range,43.98679,-113.4705,2180,F,adult,211,92,31,17,50.5
KCB2017120.HirdChipmunk2017C04,amoenus_cratericus_603350,amoenus_cratericus_603350,I,USNM 603343,KCB2017-120,sample,42894,"Kayce C. Bell, Keegan P. Hottinger",minimus pictus,minimus ,Idaho,Custer,"Lemhi Range; Big Gulch, 5 km SSW Iron Creek Peak",Lemhi Range,44.34308,-113.52031,2217,F,adult,205,99,31,16,42.5
KCB2017125.HirdChipmunk2017F02,ruficaudus_ruficaudus_603355,ruficaudus_ruficaudus_603355,E,USNM 603348,KCB2017-125,sample,42895,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lemhi Range; Big Gulch, 5 km SSW Iron Creek Peak",Lemhi Range,44.34748,-113.50922,2295,F,adult,214,96,32,19,56
KCB2017127.HirdChipmunk2017D04,NA,NA,NA,USNM 603350,KCB2017-127,sample,42896,"Kayce C. Bell, Keegan P. Hottinger",amoenus cratericus,amoenus,Idaho,Custer,"Lemhi Range; Big Gulch, 5 km SSW Iron Creek Peak",Lemhi Range,44.3472,-113.51018,2245,M,adult,219,94,31,19,49
KCB2017132.HirdChipmunk2017E04,NA,NA,NA,USNM 603355,KCB2017-132,sample,42898,"Kayce C. Bell, Keegan P. Hottinger",ruficaudus ruficaudus,ruficaudus,Idaho,Idaho,10 km SE confluence Selway and Lochsa Rivers; Rackliff Creek,Rackliff Creek,46.08562,-115.49532,501,M,adult,241,112,34,21,56.5
